index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
887,3.0,2.0,1676.0, Medium,Condo,91.0,2005.0,26.590946,-80.05156600000002,Lantana,Palm Beach County,X500   (),True,2016,2534,-15851.218181818183,-0.0898565239087954
888,3.0,2.0,1515.0, Medium,Condo,8.0,2005.0,26.590946,-80.05156600000002,Lantana,Palm Beach County,X500   (),True,2019,2534,-12242.0,0.7251978569733142
889,3.0,2.0,2242.0, Low,Single Family Home,33.0,1974.0,27.851326,-82.750157,Seminole,Pinellas County,X500   (),True,2000,6691,5685.614718614719,-0.04361965330074491
890,3.0,1.0,888.0, Medium,Single Family Home,56.0,1959.0,27.858301,-82.754675,Seminole,Pinellas County,X   (),False,2019,6691,-18532.545454545456,0.056788253828088615
891,3.0,2.0,1374.0, Medium,Single Family Home,22.0,1967.0,27.850632,-82.767439,Largo,Pinellas County,AE   (),True,2020,6691,-28512.090909090908,0.4283989821030667
892,4.0,3.0,1670.0, Medium,Condo,16.0,2002.0,28.395086,-80.61684,Cape Canaveral,Brevard County,X   (),True,2016,6619,-12750.345454545457,0.3202341983390486
893,5.0,4.0,3972.0, Medium,Single Family Home,4.0,2000.0,26.075705,-80.25383000000002,Davie,Broward County,X500   (),False,2015,4721,-13642.151515151514,0.29492775727200443
894,4.0,4.0,3342.0, Medium,Single Family Home,92.0,2004.0,26.538046,-80.053613,Boynton Beach,Palm Beach County,AE   (),True,2001,1434,68701.15909090909,7.446320394452053
895,3.0,2.0,1387.0, Medium,Single Family Home,30.0,1962.0,25.935259,-80.33718499999998,Hialeah,Miami-Dade County,AE   (),False,2015,580,-7910.378787878785,0.3985401352624087
896,2.0,2.0,883.0, Medium,Condo,68.0,1974.0,26.443620000000006,-80.149355,Delray Beach,Palm Beach County,X   (),False,2020,1470,-5928.545454545454,1.4706885143327015
897,5.0,2.0,2998.0, N/A,Single Family Home,623.0,2009.0,30.591537,-81.587453,Yulee,Nassau County,X   (),False,1996,5945,2034.1454545454544,2.410186138875753
898,4.0,4.0,2975.0, Medium,Single Family Home,20.0,2006.0,25.85108,-80.376228,Doral,Miami-Dade County,X   (),False,2016,657,2262.8545454545456,0.03573018275049892
899,4.0,3.0,2373.0, Medium,Single Family Home,12.0,2004.0,27.226613,-80.37508000000003,Port Saint Lucie,St. Lucie County,X   (),False,2004,265,665.272727272727,0.05924538522073414
900,5.0,4.5,6513.0, Medium,Single Family Home,437.0,2016.0,26.132997,-80.311534,Plantation,Broward County,AH   (),False,2013,4552,39142.375,7.561161924434438
901,5.0,4.0,2570.0, N/A,Single Family Home,30.0,2014.0,30.254619,-82.112669,Macclenny,Baker County,X   (),False,2017,8803,-1355.977272727272,0.6420784392011115
902,4.0,3.5,2199.0, Medium,Single Family Home,71.0,1935.0,25.821641,-80.132468,Miami Beach,Miami-Dade County,AE   (),True,1998,2639,-433.71146245059936,1.7398804646376649
903,3.0,3.0,2249.0, Low,Single Family Home,78.0,1993.0,27.851212,-82.740938,Pinellas Park,Pinellas County,AE   (),True,2006,5051,-2593.181818181818,-0.2611282610748902
904,4.0,3.5,4644.0, Medium,Single Family Home,122.0,1998.0,25.657038,-80.33619200000003,Miami,Miami-Dade County,X   (),False,2018,886,13351.454545454544,0.8916548119301169
905,4.0,2.0,1695.0, N/A,Single Family Home,112.0,1973.0,30.285245,-82.13942,Macclenny,Baker County,X   (),False,2018,8803,-6450.030303030301,0.23224990030776785
906,2.0,2.0,1075.0, Medium,Condo,10.0,1981.0,27.86101,-82.760666,Seminole,Pinellas County,X   (),False,2018,6691,-11084.545454545454,0.03674877650873076
907,2.0,2.0,968.0, High,Condo,173.0,1971.0,25.77249,-80.341247,Miami,Miami-Dade County,AH   (),True,2020,1835,-13920.0,-0.0740579162698645
908,2.0,2.0,968.0, High,Condo,173.0,1971.0,25.77249,-80.341247,Miami,Miami-Dade County,AH   (),True,2020,1835,-13920.0,-0.0740579162698645
909,5.0,4.5,3900.0, Low,Single Family Home,19.0,1993.0,28.203714,-80.680749,Melbourne,Brevard County,A   (),False,2006,1007,-3836.163636363637,-0.0944677231973238
910,4.0,2.5,1518.0, Medium,Condo,20.0,1999.0,26.188791,-80.27036600000002,Sunrise,Broward County,AH   (),False,2009,3049,-4350.916666666666,0.4947900497164369
911,3.0,3.5,2485.0, Low,Single Family Home,38.0,1958.0,25.708452,-80.250124,Coral Gables,Miami-Dade County,AE   (),True,2015,2060,2470.803030303032,0.32379123736457704
912,2.0,1.5,1275.0, Medium,Single Family Home,18.0,1976.0,28.022825,-82.131946,Plant City,Hillsborough County,AE   (),False,2020,4489,-14323.636363636364,1.3145079439069494
913,3.0,2.0,1752.0, Medium,Single Family Home,52.0,1967.0,26.111205,-80.132951,Fort Lauderdale,Broward County,AH   (),True,1999,6556,5852.272727272728,4.709548901341658
914,4.0,4.5,2494.0, Medium,Single Family Home,222.0,1990.0,25.01066,-80.514489,Tavernier,Monroe County,VE   (),True,2016,10588,33702.709090909084,0.33952258006492697
915,2.0,2.0,1354.0, Medium,Single Family Home,2.0,1964.0,26.020026,-80.134738,Hollywood,Broward County,AE   (),True,2018,880,-7942.363636363636,0.2540008078203517
916,4.0,3.0,2729.0, Medium,Single Family Home,11.0,1923.0,25.746729,-80.27385799999998,Coral Gables,Miami-Dade County,X   (),False,1996,1598,22734.91636363636,-0.2830122574280236
917,4.0,2.0,2264.0, Medium,Single Family Home,20.0,1994.0,26.282773,-80.249409,Pompano Beach,Broward County,X500   (),False,2020,811,-24735.363636363636,0.4276222500054601
918,3.0,2.0,1100.0, Medium,Townhome,17.0,1986.0,27.923769,-82.314256,Brandon,Hillsborough County,X   (),False,2005,476,-2201.9829545454545,0.1485629205875444
919,5.0,3.0,3088.0, Low,Single Family Home,60.0,2008.0,27.452439,-80.420831,Fort Pierce,St. Lucie County,X   (),False,2019,13946,-5827.318181818182,0.3223325488886808
920,2.0,2.0,920.0, Medium,Condo,11.0,2005.0,25.479091,-80.425016,Homestead,Miami-Dade County,AH   (),True,2012,840,-7713.595959595959,0.7141165454529885
921,1.0,1.0,754.0, Medium,Condo,8.0,1974.0,28.013287,-82.773585,Dunedin,Pinellas County,X500   (),True,2018,698,-6632.757575757574,0.6964867443977668
922,1.0,1.0,754.0, Medium,Condo,8.0,1974.0,28.013287,-82.773585,Dunedin,Pinellas County,X500   (),True,2018,698,-6632.757575757574,0.6964867443977668
923,4.0,4.5,6776.0, Low,Single Family Home,23.0,1999.0,27.85802,-82.744479,Seminole,Pinellas County,AE   (),True,1996,6691,63288.82545454546,8.096399721457482
924,4.0,3.5,2434.0, Medium,Townhome,28.0,2004.0,27.860551,-82.7615,Seminole,Pinellas County,X   (),False,2013,6691,-19247.170454545456,-0.4642856061206343
925,1.0,1.5,860.0, Medium,Condo,45.0,1979.0,26.15978,-80.277361,Sunrise,Broward County,X500   (),False,2016,952,-2983.6181818181817,0.5764790865991528
926,5.0,4.5,3384.0, Low,Single Family Home,121.0,1997.0,27.859775,-82.742918,Seminole,Pinellas County,AE   (),True,2019,6691,-5472.5,0.978645484274008
927,4.0,2.0,1620.0, Medium,Single Family Home,29.0,1955.0,26.217513,-80.126793,Pompano Beach,Broward County,X500   (),True,2011,2446,-9401.445454545457,0.039491037148927655
928,3.0,2.0,1561.0, Low,Single Family Home,47.0,2018.0,27.773496999999995,-82.354127,Sun City Center,Hillsborough County,X   (),False,2018,1934,-8574.0,0.06659477244713974
929,5.0,3.0,3371.0, Medium,Single Family Home,80.0,2001.0,26.5301,-80.136398,Boynton Beach,Palm Beach County,X   (),False,2019,730,-10350.818181818182,0.2724526142098841
930,3.0,2.0,1404.0, Medium,Single Family Home,9.0,1981.0,27.890649,-82.773214,Largo,Pinellas County,AE   (),False,2020,6070,-18133.090909090908,0.5604339485419371
931,3.0,2.0,1404.0, Medium,Single Family Home,9.0,1981.0,27.890649,-82.773214,Largo,Pinellas County,AE   (),False,2020,6070,-18133.090909090908,0.5604339485419371
932,3.0,2.0,1946.0, Medium,Single Family Home,16.0,1994.0,25.804082,-80.354777,Doral,Miami-Dade County,X   (),False,2008,1835,3037.174825174825,0.16758831889021156
933,5.0,4.0,4117.0, Medium,Single Family Home,74.0,2002.0,26.568029,-80.204204,Lake Worth,Palm Beach County,X   (),False,2013,392,-14675.818181818182,-0.2311542759862289
